timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:18:59.027, 11.08 W, 0 %
2026/02/12 17:19:00.028, 10.99 W, 0 %
2026/02/12 17:19:01.028, 11.82 W, 0 %
2026/02/12 17:19:02.028, 12.53 W, 0 %
2026/02/12 17:19:03.028, 12.49 W, 0 %
2026/02/12 17:19:04.028, 11.72 W, 0 %
2026/02/12 17:19:05.028, 12.13 W, 0 %
2026/02/12 17:19:06.028, 12.45 W, 0 %
2026/02/12 17:19:07.029, 12.07 W, 0 %
2026/02/12 17:19:08.029, 12.17 W, 0 %
2026/02/12 17:19:09.029, 12.24 W, 0 %
2026/02/12 17:19:10.029, 11.80 W, 0 %
2026/02/12 17:19:11.029, 11.48 W, 0 %
2026/02/12 17:19:12.029, 11.76 W, 0 %
2026/02/12 17:19:13.030, 11.53 W, 0 %
2026/02/12 17:19:14.030, 10.85 W, 0 %
2026/02/12 17:19:15.030, 10.99 W, 0 %
